Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BR1,CD-DF410S,CD-DF410S,115.57,-64.008,-90.0,top
BR2,CD-DF410S,CD-DF410S,116.078,-49.356,0.0,top
C1,1000uF,C_Radial_D10.0mm_H16.0mm_P5.00mm,129.032,-67.016,90.0,top
C2,100uF,C_Radial_D16.0mm_H25.0mm_P7.50mm,131.064,-46.034,-90.0,top
C3,0.1uF,C_0402_1005Metric,160.02,-62.738,90.0,top
C4,0.1uF,C_0402_1005Metric,186.436,-62.738,90.0,top
C5,0.1uF,C_0402_1005Metric,160.528,-43.18,-90.0,top
C6,10uF,C_0603_1608Metric,150.635,-57.658,180.0,top
C7,22uF,C_0603_1608Metric,159.766,-38.354,180.0,top
C8,0.1uF,C_0402_1005Metric,160.02,-39.878,180.0,top
C9,10uF,C_0603_1608Metric,145.796,-47.752,180.0,top
D1,LED,LED_0805_2012Metric,165.606,-71.882,90.0,top
D2,LED,LED_0805_2012Metric,203.326,-72.2145,90.0,top
D3,S1G,DIOM5227X250N,160.526,-71.882,180.0,top
D4,S1G,DIOM5227X250N,198.246,-72.136,180.0,top
D5,LED,LED_0805_2012Metric,147.39,-71.472,90.0,top
D6,LED,LED_0805_2012Metric,184.784,-71.806859,90.0,top
D7,S1G,DIOM5227X250N,142.056,-71.218,180.0,top
D8,S1G,DIOM5227X250N,179.45,-71.728359,180.0,top
F1,0679L1000-01,FUSC6125X279N,105.156,-64.262,90.0,top
F2,0679L1000-01,FUSC6125X279N,103.039,-54.864,0.0,top
IC1,BA17805FP-E2,ROHM_TO-252-3,119.126,-74.676,-90.0,top
J1,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",106.132,-45.669,180.0,top
J2,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",94.488,-61.722,-90.0,top
J3,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",94.539,-76.2,-90.0,top
J4,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,105.557,-75.438,180.0,top
J5,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,121.412,-83.058,90.0,top
J6,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Horizontal,204.921,-57.419,0.0,top
J7,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,191.531,-41.148,90.0,top
K1,SRD-05VDC-SL-C,SRD,160.782,-76.432,-90.0,top
K2,SRD-05VDC-SL-C,SRD,198.12,-76.532,-90.0,top
K3,SRD-05VDC-SL-C,SRD,142.24,-76.178,-90.0,top
K4,SRD-05VDC-SL-C,SRD,179.578,-76.432,-90.0,top
Q1,SS8050-G,SOT95P240X115-3N,154.684,-71.628,-90.0,top
Q2,SS8050-G,SOT95P240X115-3N,192.15,-71.882,-90.0,top
Q3,SS8050-G,SOT95P240X115-3N,136.214,-70.964,-90.0,top
Q4,SS8050-G,SOT95P240X115-3N,173.608,-71.728359,-90.0,top
R1,330,R_0402_1005Metric,167.64,-72.136,-90.0,top
R2,330,R_0402_1005Metric,205.358,-72.136,-90.0,top
R3,330,R_0402_1005Metric,149.776,-71.472,-90.0,top
R4,330,R_0402_1005Metric,187.07,-71.728359,-90.0,top
R5,10k,R_0402_1005Metric,123.698,-77.214,-90.0,top
R6,1M,R_0603_1608Metric,122.936,-40.132,180.0,top
R7,10k,R_0402_1005Metric,160.02,-41.402,0.0,top
RT1,NCU18XH103F6SRB,THRMC1608X95N,123.748,-73.448,-90.0,top
SW2,SW_Push,SW_PUSH_6mm,169.164,-65.278,180.0,top
SW3,SW_Push,SW_PUSH_6mm,182.626,-65.278,180.0,top
U1,ESP32-WROOM-32,ESP32-WROOM-32,175.26,-45.128,0.0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,151.13,-51.054,90.0,top
